What are the two most important distinguishing features of reinforcement learning?,Trial-and-error search and delayed reward.
Which subelement of RL is described as being analogous to 'pleasure and pain' in biological systems?,Reward signal.
"In the tic-tac-toe RL example, how are values 'backed up'?",The value of a state is moved a fraction of the way toward the value of the succeeding state after a move.
Which RL subelement alone is sufficient to determine the agent's behavior?,Policy.
"In the incremental update formula, what does the 'Error' term represent?",The difference between the target (new reward) and the current estimate ($R_n - Q_n$).
Which component of the gradient bandit algorithm makes it robust to shifts in the absolute level of rewards?,The reward baseline ($\bar{R}_t$).
What is the primary objective of a reinforcement learning agent?,To maximise the total reward it receives over the long run.
"In the context of RL, what is 'credit assignment'?",The problem of determining which specific decisions were responsible for a final success or failure.
What is the main drawback of using UCB in large state spaces or with function approximation?,It becomes impractical to maintain and update counts for each state-action pair.
"If $\alpha = 1$ in the incremental update $Q_{n+1} = Q_n + \alpha[R_n - Q_n]$, what is the value of $Q_{n+1}$?",$Q_{n+1} = R_n$ (only the most recent reward is considered).
"In RL, what is the role of an 'afterstate'?",It represents the state of the environment after the agent's move but before the opponent's or environment's response.
Which historical 'thread' of RL contributed the concept of 'optimal return functions'?,Optimal control and dynamic programming.
What was the core idea of A. Harry Klopf's 'hedonistic' learning system?,A system that adapts its behaviour to maximise a special reinforcement signal from its environment.
